Maternal Wall Thickness,Maternal Hb Concentration,Maternal Saturation,Fetal Saturation (Prct),FconcCenters,Fetal Hb Concentration 1,Fetal Hb Concentration 2,SDD(mm),PR
10.0,12.0,1.0,20.0,2.0,11.7,12.0,10,1.0000007264113882
10.0,12.0,1.0,40.0,2.0,11.7,12.0,10,1.0000025424540797
10.0,12.0,1.0,60.0,2.0,11.7,12.0,10,1.000003341504037
11.0,12.0,1.0,20.0,2.0,11.7,12.0,10,0.9999979684665377
11.0,12.0,1.0,40.0,2.0,11.7,12.0,10,1.000003192415054
11.0,12.0,1.0,60.0,2.0,11.7,12.0,10,0.9999980410257103
12.0,12.0,1.0,20.0,2.0,11.7,12.0,10,1.000000652446806
12.0,12.0,1.0,40.0,2.0,11.7,12.0,10,0.999998405131186
12.0,12.0,1.0,60.0,2.0,11.7,12.0,10,1.0000007974355634
10.0,12.0,1.0,20.0,2.0,11.7,12.0,15,1.0000007264113882
10.0,12.0,1.0,40.0,2.0,11.7,12.0,15,1.0000025424540797
10.0,12.0,1.0,60.0,2.0,11.7,12.0,15,1.000003341504037
11.0,12.0,1.0,20.0,2.0,11.7,12.0,15,0.9999979684665377
11.0,12.0,1.0,40.0,2.0,11.7,12.0,15,1.000003192415054
11.0,12.0,1.0,60.0,2.0,11.7,12.0,15,0.9999980410257103
12.0,12.0,1.0,20.0,2.0,11.7,12.0,15,1.000000652446806
12.0,12.0,1.0,40.0,2.0,11.7,12.0,15,0.999998405131186
12.0,12.0,1.0,60.0,2.0,11.7,12.0,15,1.0000007974355634
10.0,12.0,1.0,20.0,2.0,11.7,12.0,19,1.0000007264113882
10.0,12.0,1.0,40.0,2.0,11.7,12.0,19,1.0000025424540797
10.0,12.0,1.0,60.0,2.0,11.7,12.0,19,1.000003341504037
11.0,12.0,1.0,20.0,2.0,11.7,12.0,19,0.9999979684665377
11.0,12.0,1.0,40.0,2.0,11.7,12.0,19,1.000003192415054
11.0,12.0,1.0,60.0,2.0,11.7,12.0,19,0.9999980410257103
12.0,12.0,1.0,20.0,2.0,11.7,12.0,19,1.000000652446806
12.0,12.0,1.0,40.0,2.0,11.7,12.0,19,0.999998405131186
12.0,12.0,1.0,60.0,2.0,11.7,12.0,19,1.0000007974355634
10.0,12.0,1.0,20.0,2.0,11.7,12.0,24,1.0000507789436757
10.0,12.0,1.0,40.0,2.0,11.7,12.0,24,1.0000495265925162
10.0,12.0,1.0,60.0,2.0,11.7,12.0,24,1.0000512804838277
11.0,12.0,1.0,20.0,2.0,11.7,12.0,24,0.9999979684665377
11.0,12.0,1.0,40.0,2.0,11.7,12.0,24,1.000003192415054
11.0,12.0,1.0,60.0,2.0,11.7,12.0,24,0.9999980410257103
12.0,12.0,1.0,20.0,2.0,11.7,12.0,24,1.000000652446806
12.0,12.0,1.0,40.0,2.0,11.7,12.0,24,0.999998405131186
12.0,12.0,1.0,60.0,2.0,11.7,12.0,24,1.0000007974355634
10.0,12.0,1.0,20.0,2.0,11.7,12.0,28,1.000228017928249
10.0,12.0,1.0,40.0,2.0,11.7,12.0,28,1.0002196761056146
10.0,12.0,1.0,60.0,2.0,11.7,12.0,28,1.0002205190223223
11.0,12.0,1.0,20.0,2.0,11.7,12.0,28,1.0000581216382314
11.0,12.0,1.0,40.0,2.0,11.7,12.0,28,1.0000623705249096
11.0,12.0,1.0,60.0,2.0,11.7,12.0,28,1.0000544147399295
12.0,12.0,1.0,20.0,2.0,11.7,12.0,28,1.000000652446806
12.0,12.0,1.0,40.0,2.0,11.7,12.0,28,0.999998405131186
12.0,12.0,1.0,60.0,2.0,11.7,12.0,28,1.0000007974355634
10.0,12.0,1.0,20.0,2.0,11.7,12.0,33,1.0007211775677727
10.0,12.0,1.0,40.0,2.0,11.7,12.0,33,1.0007017611970042
10.0,12.0,1.0,60.0,2.0,11.7,12.0,33,1.0006946085891575
11.0,12.0,1.0,20.0,2.0,11.7,12.0,33,1.0002849555289965
11.0,12.0,1.0,40.0,2.0,11.7,12.0,33,1.000284466540622
11.0,12.0,1.0,60.0,2.0,11.7,12.0,33,1.0002699515900895
12.0,12.0,1.0,20.0,2.0,11.7,12.0,33,1.0000716587882155
12.0,12.0,1.0,40.0,2.0,11.7,12.0,33,1.0000683162297872
12.0,12.0,1.0,60.0,2.0,11.7,12.0,33,1.0000691656723266
10.0,12.0,1.0,20.0,2.0,11.7,12.0,37,1.0017841326268906
